from_id,from_label,to_id,to_label,via,verdict,comment
NIST-CSF-2.0:DE.AE-08,Incidents are declared when adverse events meet the defined incident criteria,ISO-27002-2022:A.5.25,安全事态研判,NIST-800-53-R5:IR-4,correct,CSF 按准则宣布事件与 A.5.25 事态研判是同一动作；虽经 IR-4，两端主题对齐，可作审计对照。
NIST-CSF-2.0:DE.AE-08,Incidents are declared when adverse events meet the defined incident criteria,ISO-27002-2022:A.5.27,事件复盘改进,NIST-800-53-R5:IR-4,wrong,宣布事件≠事件复盘改进。仅因共同经 IR-4 Incident Handling，生命周期阶段不同，不能当依据。
NIST-CSF-2.0:DE.CM-01,Networks and network services are monitored to find potentially adverse events,ISO-27002-2022:A.5.18,权限授予与收回,NIST-800-53-R5:AC-2,wrong,网络与网络服务监控≠权限授予与收回。中间 AC-2 Account Management 过宽，两端无关。
NIST-CSF-2.0:DE.CM-01,Networks and network services are monitored to find potentially adverse events,ISO-27002-2022:A.8.15,日志记录,NIST-800-53-R5:AU-12,partial,监控常以日志为手段，但 CSF 结果是监控、ISO 是日志记录；更贴 A.8.16。不能把日志当网络监控的完整证据。
NIST-CSF-2.0:GV.OC-03,"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed",ISO-27002-2022:A.5.31,法定与合同义务,"NIST-800-53-R5:AC-1,NIST-800-53-R5:AT-1,NIST-800-53-R5:AU-1,NIST-800-53-R5:CA-1,NIST-800-53-R5:CM-1,NIST-800-53-R5:CP-1,NIST-800-53-R5:IA-1,NIST-800-53-R5:IR-1,NIST-800-53-R5:MP-1,NIST-800-53-R5:PE-1,NIST-800-53-R5:PL-1,NIST-800-53-R5:PM-1,NIST-800-53-R5:PS-1,NIST-800-53-R5:RA-1,NIST-800-53-R5:SA-1,NIST-800-53-R5:SC-1,NIST-800-53-R5:SI-1,NIST-800-53-R5:SR-1",correct,法务/监管/合同义务两端主题对齐。中间虽是 18 条 XX-1 Policy and Procedures，边本身可作对照。
NIST-CSF-2.0:GV.OC-04,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",ISO-27002-2022:A.5.22,供方服务盯防与改动,NIST-800-53-R5:RA-9,wrong,外部干系人依赖本组织的关键服务≠盯防供方服务。依赖方向相反，RA-9 Criticality Analysis 不能把两者焊在一起。
NIST-CSF-2.0:GV.OC-05,"Outcomes, capabilities, and services that the organization depends on are understood and communicated",ISO-27002-2022:A.5.8,项目中的安全安排,NIST-800-53-R5:SA-9,wrong,认清本组织所依赖的能力/服务≠项目中的安全安排。中间 SA-9 External System Services 过宽。
NIST-CSF-2.0:GV.OV-01,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,ISO-27002-2022:A.5.36,方针规则落地核对,"NIST-800-53-R5:AC-1,NIST-800-53-R5:AT-1,NIST-800-53-R5:AU-1,NIST-800-53-R5:CA-1,NIST-800-53-R5:CM-1,NIST-800-53-R5:CP-1,NIST-800-53-R5:IA-1,NIST-800-53-R5:IR-1,NIST-800-53-R5:MP-1,NIST-800-53-R5:PE-1,NIST-800-53-R5:PL-1,NIST-800-53-R5:PM-1,NIST-800-53-R5:PS-1,NIST-800-53-R5:RA-1,NIST-800-53-R5:SA-1,NIST-800-53-R5:SC-1,NIST-800-53-R5:SI-1,NIST-800-53-R5:SR-1",partial,同属治理复核，但 CSF 审的是风险管理战略结果，A.5.36 核的是方针规则是否落地；对象与层级不同。
NIST-CSF-2.0:GV.RM-01,Risk management objectives are established and agreed to by organizational stakeholders,ISO-27002-2022:A.5.19,外部供方安全要求,NIST-800-53-R5:SR-2,wrong,确立风险管理目标≠外部供方安全要求。仅因 SR-2 Supply Chain Risk Management Plan 被两边引用。
NIST-CSF-2.0:GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",ISO-27002-2022:A.5.22,供方服务盯防与改动,"NIST-800-53-R5:SA-9,NIST-800-53-R5:SR-6",partial,把供应链安全要求写入合同，更贴 A.5.20，而非供方服务盯防与改动。同域近邻，活动不同。
